model,dataset,display_name,status,tunnel_layer,tunnel_relative_depth,reference_layer,final_val_loss,final_test_loss,final_test_mase,native_mase,elapsed_s,completed_utc,first_crossing_layer,median_selected_wd,n_depth_points,n_layers_at_wd_grid_max,n_layers_at_wd_grid_min,n_points,n_test,n_test_clusters,n_train,n_val,native_loss,native_readout_layer,parity_ok,path,provenance_scope,provenance_status,seasonal_m,test_ratio_at_tunnel,tunnel_definition,tunnel_index,tunnel_relative_position,val_ratio_at_tunnel,wd_grid_max
chronos2,m4_hourly,M4,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,monash_electricity_hourly,Electricity,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,uber_tlc_hourly,Uber TLC,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,wind_farms_hourly,Wind Farms,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,sg_carpark,SG Carpark,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,coastal_ts,Coastal T-S,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,boom_hourly,BOOM,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,LOOP_SEATTLE_5T,Loop Seattle,complete,L9,0.75,L12,0.22069151518965952,0.21072173816727774,1.092888144507514,1.2865068302940506,114.71831631660461,2026-09-24T17:57:52+00:00,L9,300.0,13,0,1,14,262,262,1394,262,0.23080488119473438,L12+LN,True,chronos2/LOOP_SEATTLE_5T,benchmark_exclusion,explicitly_held_out,288,0.9411339033537747,sustained_suffix_v1,9,0.75,1.0380190869022456,990.0
chronos2,electricity_15min,Electricity 15min,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,SZ_TAXI_15T,SZ Taxi,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,monash_london_smart_meters,London Smart Meters,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,m5,M5,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,wiki_daily_100k,Wiki Daily,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chronos2,monash_traffic,Traffic,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,m4_hourly,M4,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,monash_electricity_hourly,Electricity,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,uber_tlc_hourly,Uber TLC,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,wind_farms_hourly,Wind Farms,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,sg_carpark,SG Carpark,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,coastal_ts,Coastal T-S,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timesfm3,boom_hourly,BOOM,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
