model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,LOOP_SEATTLE_5T,0,Emb,block_depth,True,0.0,150.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.15,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.24947759840223524,"{""1e-05"": 4.493635654449463, ""0.0001"": 4.493548393249512, ""0.001"": 4.493486404418945, ""0.01"": 4.493478298187256, ""0.1"": 4.493481636047363, ""0.3"": 4.4933671951293945, ""1"": 4.493370056152344, ""3"": 4.492993354797363, ""10"": 4.492265224456787, ""30"": 4.4915571212768555, ""45"": 4.4914093017578125, ""65"": 4.491064548492432, ""90"": 4.490823268890381, ""150"": 4.490596771240234, ""300"": 4.490670680999756, ""450"": 4.4909162521362305, ""650"": 4.4915385246276855, ""900"": 4.497647285461426, ""950"": 4.498126983642578, ""975"": 4.501883029937744, ""990"": 4.502189636230469}","{""1e-05"": 0.24964642524719238, ""0.0001"": 0.24964157740275064, ""0.001"": 0.24963813357883027, ""0.01"": 0.2496376832326253, ""0.1"": 0.24963786866929794, ""0.3"": 0.2496315108405219, ""1"": 0.2496316697862413, ""3"": 0.24961074193318683, ""10"": 0.24957029024759927, ""30"": 0.24953095118204752, ""45"": 0.24952273898654512, ""65"": 0.2495035860273573, ""90"": 0.24949018160502115, ""150"": 0.24947759840223524, ""300"": 0.2494817044999864, ""450"": 0.24949534734090167, ""650"": 0.2495299180348714, ""900"": 0.24986929363674587, ""950"": 0.24989594353569877, ""975"": 0.2501046127743191, ""990"": 0.25012164645724827}",0.29270213376062587,0.24947760177363876,0.23200098200495006,110736,0.23254077193391232,1.0728338075894057
chronos2,LOOP_SEATTLE_5T,1,L1,block_depth,True,0.08333333333333333,990.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.99,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2548670768737793,"{""1e-05"": 4.594630241394043, ""0.0001"": 4.594273567199707, ""0.001"": 4.594059467315674, ""0.01"": 4.595058441162109, ""0.1"": 4.597009181976318, ""0.3"": 4.600205898284912, ""1"": 4.611891269683838, ""3"": 4.644554615020752, ""10"": 4.721750736236572, ""30"": 4.808530330657959, ""45"": 4.835453510284424, ""65"": 4.848050594329834, ""90"": 4.8543314933776855, ""150"": 4.850948333740234, ""300"": 4.82214879989624, ""450"": 4.77102518081665, ""650"": 4.69060754776001, ""900"": 4.608978748321533, ""950"": 4.596168518066406, ""975"": 4.590570449829102, ""990"": 4.587607383728027}","{""1e-05"": 0.2552572356330024, ""0.0001"": 0.2552374203999837, ""0.001"": 0.2552255259619819, ""0.01"": 0.2552810245090061, ""0.1"": 0.25538939899868435, ""0.3"": 0.25556699434916175, ""1"": 0.2562161816491021, ""3"": 0.2580308119455973, ""10"": 0.2623194853464762, ""30"": 0.26714057392544216, ""45"": 0.2686363061269124, ""65"": 0.2693361441294352, ""90"": 0.269685082965427, ""150"": 0.2694971296522352, ""300"": 0.2678971555497911, ""450"": 0.2650569544898139, ""650"": 0.2605893082088894, ""900"": 0.2560543749067518, ""950"": 0.25534269544813365, ""975"": 0.2550316916571723, ""990"": 0.2548670768737793}",0.24658617063544402,0.25486707788330454,0.2280027011821743,110736,0.23254077193391232,1.0960102856962104
chronos2,LOOP_SEATTLE_5T,2,L2,block_depth,True,0.16666666666666666,0.001,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,1e-06,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.241506470574273,"{""1e-05"": 4.3473005294799805, ""0.0001"": 4.348130702972412, ""0.001"": 4.347116470336914, ""0.01"": 4.347919940948486, ""0.1"": 4.347194194793701, ""0.3"": 4.347952842712402, ""1"": 4.355379104614258, ""3"": 4.37843132019043, ""10"": 4.446398735046387, ""30"": 4.544505596160889, ""45"": 4.583072185516357, ""65"": 4.615517616271973, ""90"": 4.638910293579102, ""150"": 4.664673805236816, ""300"": 4.675488471984863, ""450"": 4.650152683258057, ""650"": 4.588755130767822, ""900"": 4.531777858734131, ""950"": 4.524189472198486, ""975"": 4.5211591720581055, ""990"": 4.519526481628418}","{""1e-05"": 0.24151669608222112, ""0.0001"": 0.24156281683180067, ""0.001"": 0.241506470574273, ""0.01"": 0.24155110783047146, ""0.1"": 0.24151078859965006, ""0.3"": 0.24155293570624456, ""1"": 0.2419655058119032, ""3"": 0.24324618445502386, ""10"": 0.24702215194702148, ""30"": 0.25247253312004936, ""45"": 0.2546151214175754, ""65"": 0.2564176453484429, ""90"": 0.2577172385321723, ""150"": 0.2591485447353787, ""300"": 0.2597493595547146, ""450"": 0.2583418157365587, ""650"": 0.25493084059821236, ""900"": 0.2517654365963406, ""950"": 0.25134385956658256, ""975"": 0.25117550955878365, ""990"": 0.2510848045349121}",0.19058048052625087,0.24150646035737208,0.17829715090853568,110736,0.23254077193391232,1.038555339560014
chronos2,LOOP_SEATTLE_5T,3,L3,block_depth,True,0.25,3.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.003,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.23103221257527667,"{""1e-05"": 4.167555332183838, ""0.0001"": 4.1672844886779785, ""0.001"": 4.167885780334473, ""0.01"": 4.167877197265625, ""0.1"": 4.166757583618164, ""0.3"": 4.165491580963135, ""1"": 4.162745952606201, ""3"": 4.1585798263549805, ""10"": 4.163464546203613, ""30"": 4.1848249435424805, ""45"": 4.194997787475586, ""65"": 4.204306602478027, ""90"": 4.215760707855225, ""150"": 4.235884666442871, ""300"": 4.294924736022949, ""450"": 4.317537784576416, ""650"": 4.339127540588379, ""900"": 4.361047744750977, ""950"": 4.364390850067139, ""975"": 4.365893840789795, ""990"": 4.366823673248291}","{""1e-05"": 0.231530851787991, ""0.0001"": 0.23151580492655435, ""0.001"": 0.2315492100185818, ""0.01"": 0.2315487331814236, ""0.1"": 0.23148653242323133, ""0.3"": 0.23141619894239637, ""1"": 0.23126366403367782, ""3"": 0.23103221257527667, ""10"": 0.23130358590020073, ""30"": 0.2324902746412489, ""45"": 0.23305543263753253, ""65"": 0.23357258902655706, ""90"": 0.23420892821417913, ""150"": 0.23532692591349283, ""300"": 0.23860692977905273, ""450"": 0.2398632102542453, ""650"": 0.24106264114379883, ""900"": 0.24228043026394314, ""950"": 0.24246615833706325, ""975"": 0.24254965782165527, ""990"": 0.2426013151804606}",0.17562985926508434,0.23103222816841293,0.1837016447440131,110736,0.23254077193391232,0.9935127773381258
chronos2,LOOP_SEATTLE_5T,4,L4,block_depth,True,0.3333333333333333,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,1e-05,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2325892713334825,"{""1e-05"": 4.187169075012207, ""0.0001"": 4.186738967895508, ""0.001"": 4.186933994293213, ""0.01"": 4.1866068840026855, ""0.1"": 4.188315391540527, ""0.3"": 4.187961578369141, ""1"": 4.191298007965088, ""3"": 4.201926231384277, ""10"": 4.238650321960449, ""30"": 4.282699108123779, ""45"": 4.300763130187988, ""65"": 4.3139448165893555, ""90"": 4.323676586151123, ""150"": 4.328140735626221, ""300"": 4.322230339050293, ""450"": 4.326252460479736, ""650"": 4.345463275909424, ""900"": 4.363230228424072, ""950"": 4.3662638664245605, ""975"": 4.36743688583374, ""990"": 4.368370056152344}","{""1e-05"": 0.2326205041673448, ""0.0001"": 0.2325966093275282, ""0.001"": 0.2326074441274007, ""0.01"": 0.2325892713334825, ""0.1"": 0.23268418841891816, ""0.3"": 0.23266453213161892, ""1"": 0.23284988933139375, ""3"": 0.2334403461880154, ""10"": 0.23548057344224715, ""30"": 0.23792772822909883, ""45"": 0.23893128501044378, ""65"": 0.23966360092163086, ""90"": 0.2402042547861735, ""150"": 0.2404522630903456, ""300"": 0.24012390772501627, ""450"": 0.2403473589155409, ""650"": 0.24141462643941242, ""900"": 0.24240167935689289, ""950"": 0.24257021480136445, ""975"": 0.2426353825463189, ""990"": 0.24268722534179688}",0.1721065433500829,0.23258926528896995,0.19217965979385013,110736,0.23254077193391232,1.0002085370004337
chronos2,LOOP_SEATTLE_5T,5,L5,block_depth,True,0.4166666666666667,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,1e-05,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.23114638858371309,"{""1e-05"": 4.16200590133667, ""0.0001"": 4.162680625915527, ""0.001"": 4.161208152770996, ""0.01"": 4.160634994506836, ""0.1"": 4.1630730628967285, ""0.3"": 4.162288188934326, ""1"": 4.162688255310059, ""3"": 4.165867805480957, ""10"": 4.18279504776001, ""30"": 4.204883098602295, ""45"": 4.213901519775391, ""65"": 4.219217777252197, ""90"": 4.2236480712890625, ""150"": 4.237690448760986, ""300"": 4.274009704589844, ""450"": 4.301965236663818, ""650"": 4.323178768157959, ""900"": 4.342375755310059, ""950"": 4.346100330352783, ""975"": 4.347743034362793, ""990"": 4.348806858062744}","{""1e-05"": 0.23122255007425943, ""0.0001"": 0.23126003477308485, ""0.001"": 0.23117823070949978, ""0.01"": 0.23114638858371309, ""0.1"": 0.231281836827596, ""0.3"": 0.23123823271857366, ""1"": 0.23126045862833658, ""3"": 0.2314371003044976, ""10"": 0.23237750265333387, ""30"": 0.23360461658901638, ""45"": 0.23410563998752168, ""65"": 0.23440098762512207, ""90"": 0.23464711507161456, ""150"": 0.23542724715338811, ""300"": 0.23744498358832464, ""450"": 0.23899806870354545, ""650"": 0.2401765982309977, ""900"": 0.24124309751722547, ""950"": 0.2414500183529324, ""975"": 0.24154127968682182, ""990"": 0.24160038100348577}",0.17022109791299747,0.23114638525338574,0.19347252099568607,110736,0.23254077193391232,0.9940036894651625
chronos2,LOOP_SEATTLE_5T,6,L6,block_depth,True,0.5,90.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.09,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.22524852222866482,"{""1e-05"": 4.109533786773682, ""0.0001"": 4.109548568725586, ""0.001"": 4.109877109527588, ""0.01"": 4.10979700088501, ""0.1"": 4.108659267425537, ""0.3"": 4.1075968742370605, ""1"": 4.10135555267334, ""3"": 4.094022274017334, ""10"": 4.083023548126221, ""30"": 4.075279235839844, ""45"": 4.066070079803467, ""65"": 4.059193134307861, ""90"": 4.054473400115967, ""150"": 4.059391498565674, ""300"": 4.108808517456055, ""450"": 4.161563396453857, ""650"": 4.212834358215332, ""900"": 4.257225513458252, ""950"": 4.2650933265686035, ""975"": 4.269066333770752, ""990"": 4.271305561065674}","{""1e-05"": 0.22830743259853786, ""0.0001"": 0.22830825381808809, ""0.001"": 0.228326506084866, ""0.01"": 0.22832205560472274, ""0.1"": 0.22825884819030762, ""0.3"": 0.22819982634650335, ""1"": 0.22785308625962997, ""3"": 0.22744568188985187, ""10"": 0.2268346415625678, ""30"": 0.22640440199110243, ""45"": 0.2258927822113037, ""65"": 0.22551072968377006, ""90"": 0.22524852222866482, ""150"": 0.2255217499203152, ""300"": 0.2282671398586697, ""450"": 0.23119796646965873, ""650"": 0.2340463532341851, ""900"": 0.23651252852545843, ""950"": 0.2369496292538113, ""975"": 0.23717035187615287, ""990"": 0.23729475339253742}",0.18273814910170294,0.22524849510261122,0.18559047419094402,110736,0.23254077193391232,0.9686408677039502
chronos2,LOOP_SEATTLE_5T,7,L7,block_depth,True,0.5833333333333334,300.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2163869539896647,"{""1e-05"": 4.027007579803467, ""0.0001"": 4.02638053894043, ""0.001"": 4.027010917663574, ""0.01"": 4.024896621704102, ""0.1"": 4.025058746337891, ""0.3"": 4.023548603057861, ""1"": 4.019832611083984, ""3"": 4.01178503036499, ""10"": 4.002913475036621, ""30"": 3.9831478595733643, ""45"": 3.970896005630493, ""65"": 3.9552338123321533, ""90"": 3.939567804336548, ""150"": 3.9144794940948486, ""300"": 3.894965171813965, ""450"": 3.938835382461548, ""650"": 4.017399311065674, ""900"": 4.0933709144592285, ""950"": 4.105995178222656, ""975"": 4.11185884475708, ""990"": 4.115278244018555}","{""1e-05"": 0.22372264332241482, ""0.0001"": 0.22368780771891275, ""0.001"": 0.22372282875908744, ""0.01"": 0.22360536787245008, ""0.1"": 0.22361437479654947, ""0.3"": 0.22353047794765896, ""1"": 0.22332403394911024, ""3"": 0.22287694613138834, ""10"": 0.22238408194647893, ""30"": 0.22128599219852021, ""45"": 0.2206053336461385, ""65"": 0.21973521179623073, ""90"": 0.21886487801869708, ""150"": 0.21747108300526935, ""300"": 0.2163869539896647, ""450"": 0.21882418791453043, ""650"": 0.22318885061475965, ""900"": 0.2274094952477349, ""950"": 0.228110843234592, ""975"": 0.22843660248650444, ""990"": 0.2286265691121419}",0.20130877615817136,0.21638696037858496,0.17690384006909743,110736,0.23254077193391232,0.9305334225005573
chronos2,LOOP_SEATTLE_5T,8,L8,block_depth,True,0.6666666666666666,150.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.15,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.20583742194705537,"{""1e-05"": 3.9386348724365234, ""0.0001"": 3.938922882080078, ""0.001"": 3.9390370845794678, ""0.01"": 3.939096212387085, ""0.1"": 3.937469244003296, ""0.3"": 3.9341635704040527, ""1"": 3.920778274536133, ""3"": 3.89538836479187, ""10"": 3.85587477684021, ""30"": 3.804482936859131, ""45"": 3.7791500091552734, ""65"": 3.7551543712615967, ""90"": 3.735322952270508, ""150"": 3.705073595046997, ""300"": 3.7276175022125244, ""450"": 3.840308666229248, ""650"": 3.9719061851501465, ""900"": 4.070180892944336, ""950"": 4.085669040679932, ""975"": 4.09322452545166, ""990"": 4.0975341796875}","{""1e-05"": 0.21881304846869573, ""0.0001"": 0.21882904900444877, ""0.001"": 0.2188353935877482, ""0.01"": 0.21883867846594915, ""0.1"": 0.21874829133351642, ""0.3"": 0.21856464280022514, ""1"": 0.21782101525200737, ""3"": 0.21641046471065944, ""10"": 0.21421526538001165, ""30"": 0.2113601631588406, ""45"": 0.20995277828640407, ""65"": 0.20861968729231092, ""90"": 0.20751794179280597, ""150"": 0.20583742194705537, ""300"": 0.20708986123402912, ""450"": 0.21335048145718044, ""650"": 0.22066145473056367, ""900"": 0.22612116071912977, ""950"": 0.2269816133711073, ""975"": 0.22740136252509222, ""990"": 0.22764078776041666}",0.18484230411948485,0.2058374161711176,0.17433455249451044,110736,0.23254077193391232,0.8851669944125593
chronos2,LOOP_SEATTLE_5T,9,L9,block_depth,True,0.75,150.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90|150|300|450|650|900|950|975|990,990.0,1e-05,21,0.001,0.15,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.1999101506339179,"{""1e-05"": 3.813084602355957, ""0.0001"": 3.812788963317871, ""0.001"": 3.8130784034729004, ""0.01"": 3.813375949859619, ""0.1"": 3.8098790645599365, ""0.3"": 3.807248592376709, ""1"": 3.789940357208252, ""3"": 3.759287118911743, ""10"": 3.7066292762756348, ""30"": 3.6651206016540527, ""45"": 3.649043321609497, ""65"": 3.634758234024048, ""90"": 3.6196582317352295, ""150"": 3.5983827114105225, ""300"": 3.6580207347869873, ""450"": 3.7912662029266357, ""650"": 3.9437806606292725, ""900"": 4.048360824584961, ""950"": 4.0641560554504395, ""975"": 4.071557521820068, ""990"": 4.075763702392578}","{""1e-05"": 0.2118380334642198, ""0.0001"": 0.21182160907321504, ""0.001"": 0.2118376890818278, ""0.01"": 0.2118542194366455, ""0.1"": 0.21165994803110758, ""0.3"": 0.21151381068759492, ""1"": 0.21055224206712508, ""3"": 0.20884928438398573, ""10"": 0.2059238486819797, ""30"": 0.20361781120300293, ""45"": 0.20272462897830537, ""65"": 0.20193101300133598, ""90"": 0.20109212398529053, ""150"": 0.1999101506339179, ""300"": 0.2032233741548326, ""450"": 0.21062590016259086, ""650"": 0.21909892559051514, ""900"": 0.22490893469916448, ""950"": 0.22578644752502441, ""975"": 0.2261976401011149, ""990"": 0.22643131679958767}",0.18432466971181558,0.1999101438026392,0.17937253688582938,110736,0.23254077193391232,0.859677819679094
