model,dataset,point_index,layer,point_type,include_in_main_depth_axis,relative_depth,selected_wd,wd_at_grid_max,wd_at_grid_min,wd_grid,wd_grid_max,wd_grid_min,n_wd_candidates,lr,lr_times_selected_wd,val_loss_selection_convention,val_loss_at_selected_wd,val_loss_by_wd,val_loss_by_wd_mean_pinball,train_loss,val_loss,test_loss,n_probe_params,constant_forecast_floor_val_loss,val_over_floor
chronos2,m4_hourly,0,Emb,block_depth,True,0.0,90.0,True,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.9,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2952349715762668,"{""1e-05"": 5.591728687286377, ""0.0001"": 5.60486364364624, ""0.001"": 5.584346771240234, ""0.01"": 5.579570293426514, ""0.1"": 5.58563756942749, ""0.3"": 5.578332424163818, ""1"": 5.52690315246582, ""3"": 5.474263668060303, ""10"": 5.390581130981445, ""30"": 5.361330032348633, ""45"": 5.320828914642334, ""65"": 5.319973468780518, ""90"": 5.314229488372803}","{""1e-05"": 0.31065159373813206, ""0.0001"": 0.3113813135359022, ""0.001"": 0.3102414872911241, ""0.01"": 0.30997612741258407, ""0.1"": 0.3103131983015272, ""0.3"": 0.30990735689798987, ""1"": 0.30705017513699, ""3"": 0.30412575933668345, ""10"": 0.29947672949896914, ""30"": 0.2978516684638129, ""45"": 0.29560160636901855, ""65"": 0.2955540815989176, ""90"": 0.2952349715762668}",0.2793122713415318,0.29523494344858725,0.2863358899609733,110736,0.30932340492274013,0.9544539428638716
chronos2,m4_hourly,1,L1,block_depth,True,0.08333333333333333,0.1,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.2226796680026584,"{""1e-05"": 4.039662837982178, ""0.0001"": 4.03665018081665, ""0.001"": 4.0125532150268555, ""0.01"": 4.038480281829834, ""0.1"": 4.008234024047852, ""0.3"": 4.008750915527344, ""1"": 4.126564979553223, ""3"": 4.1237897872924805, ""10"": 4.179241180419922, ""30"": 4.050770282745361, ""45"": 4.084573745727539, ""65"": 4.048884868621826, ""90"": 4.084903717041016}","{""1e-05"": 0.2244257132212321, ""0.0001"": 0.2242583433787028, ""0.001"": 0.22291962305704752, ""0.01"": 0.22436001565721297, ""0.1"": 0.2226796680026584, ""0.3"": 0.22270838419596353, ""1"": 0.22925360997517902, ""3"": 0.22909943262736002, ""10"": 0.23218006557888454, ""30"": 0.2250427934858534, ""45"": 0.22692076365152994, ""65"": 0.2249380482567681, ""90"": 0.22693909539116752}",0.16281721079281106,0.2226796775828791,0.19756452773363536,110736,0.30932340492274013,0.7198927531477869
chronos2,m4_hourly,2,L2,block_depth,True,0.16666666666666666,0.01,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.0001,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.12371622191535102,"{""1e-05"": 2.249251127243042, ""0.0001"": 2.2705941200256348, ""0.001"": 2.2721073627471924, ""0.01"": 2.2268919944763184, ""0.1"": 2.241837739944458, ""0.3"": 2.2514984607696533, ""1"": 2.22943115234375, ""3"": 2.278001070022583, ""10"": 2.2641866207122803, ""30"": 2.285778284072876, ""45"": 2.38358998298645, ""65"": 2.475090265274048, ""90"": 2.6387181282043457}","{""1e-05"": 0.12495839595794678, ""0.0001"": 0.12614411777920193, ""0.001"": 0.12622818681928846, ""0.01"": 0.12371622191535102, ""0.1"": 0.12454654110802543, ""0.3"": 0.1250832478205363, ""1"": 0.12385728624131943, ""3"": 0.12655561500125462, ""10"": 0.1257881455951267, ""30"": 0.1269876824484931, ""45"": 0.13242166572146946, ""65"": 0.13750501473744708, ""90"": 0.1465954515669081}",0.09606005619393616,0.12371622075731972,0.12256940134324645,110736,0.30932340492274013,0.3999575162707794
chronos2,m4_hourly,3,L3,block_depth,True,0.25,1.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.01,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10196871227688259,"{""1e-05"": 1.883249282836914, ""0.0001"": 1.8453425168991089, ""0.001"": 1.8549576997756958, ""0.01"": 1.8666408061981201, ""0.1"": 1.8770101070404053, ""0.3"": 1.8610050678253174, ""1"": 1.8354368209838867, ""3"": 1.8671950101852417, ""10"": 1.9129432439804077, ""30"": 1.9880685806274414, ""45"": 2.036182403564453, ""65"": 2.1039631366729736, ""90"": 2.165339231491089}","{""1e-05"": 0.10462496015760633, ""0.0001"": 0.10251902871661715, ""0.001"": 0.1030532055430942, ""0.01"": 0.10370226701100667, ""0.1"": 0.1042783392800225, ""0.3"": 0.10338917043473984, ""1"": 0.10196871227688259, ""3"": 0.10373305612140231, ""10"": 0.1062746246655782, ""30"": 0.11044825447930229, ""45"": 0.11312124464246961, ""65"": 0.11688684092627631, ""90"": 0.12029662397172715}",0.08086808181636389,0.10196871101458109,0.10989426478800428,110736,0.30932340492274013,0.3296508100964745
chronos2,m4_hourly,4,L4,block_depth,True,0.3333333333333333,10.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.1,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.10092951854070027,"{""1e-05"": 1.8986958265304565, ""0.0001"": 1.943297028541565, ""0.001"": 1.9219931364059448, ""0.01"": 1.9199678897857666, ""0.1"": 1.8794838190078735, ""0.3"": 1.879436731338501, ""1"": 1.8574517965316772, ""3"": 1.8676517009735107, ""10"": 1.816731333732605, ""30"": 1.8948951959609985, ""45"": 1.9325652122497559, ""65"": 1.965969204902649, ""90"": 2.0525600910186768}","{""1e-05"": 0.10548310147391425, ""0.0001"": 0.10796094603008694, ""0.001"": 0.10677739646699692, ""0.01"": 0.10666488276587592, ""0.1"": 0.10441576772265963, ""0.3"": 0.10441315174102783, ""1"": 0.10319176647398207, ""3"": 0.1037584278318617, ""10"": 0.10092951854070027, ""30"": 0.10527195533116658, ""45"": 0.10736473401387532, ""65"": 0.10922051138348049, ""90"": 0.11403111616770426}",0.08147520155858361,0.10092951473957709,0.10868429062703183,110736,0.30932340492274013,0.3262912315503132
chronos2,m4_hourly,5,L5,block_depth,True,0.4166666666666667,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.09820355309380424,"{""1e-05"": 1.9992578029632568, ""0.0001"": 1.9938806295394897, ""0.001"": 2.02345609664917, ""0.01"": 2.0813021659851074, ""0.1"": 2.0529282093048096, ""0.3"": 1.959171175956726, ""1"": 1.9720898866653442, ""3"": 1.9048609733581543, ""10"": 1.8503026962280273, ""30"": 1.7676639556884766, ""45"": 1.7925254106521606, ""65"": 1.8803154230117798, ""90"": 1.9264304637908936}","{""1e-05"": 0.11106987794240315, ""0.0001"": 0.1107711460855272, ""0.001"": 0.11241422759162055, ""0.01"": 0.11562789811028373, ""0.1"": 0.11405156718360053, ""0.3"": 0.108842843108707, ""1"": 0.10956054925918579, ""3"": 0.10582560963100857, ""10"": 0.1027945942348904, ""30"": 0.09820355309380424, ""45"": 0.09958474503623115, ""65"": 0.10446196794509888, ""90"": 0.10702391465504964}",0.08160871786561125,0.09820355335605964,0.105726346800118,110736,0.30932340492274013,0.317478573535643
chronos2,m4_hourly,6,L6,block_depth,True,0.5,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.0984545350074768,"{""1e-05"": 2.0985567569732666, ""0.0001"": 1.9741709232330322, ""0.001"": 2.0273501873016357, ""0.01"": 2.030478000640869, ""0.1"": 2.002185583114624, ""0.3"": 2.0081489086151123, ""1"": 1.9412513971328735, ""3"": 1.9075909852981567, ""10"": 1.7906733751296997, ""30"": 1.7721816301345825, ""45"": 1.775083303451538, ""65"": 1.8068989515304565, ""90"": 1.828314185142517}","{""1e-05"": 0.1165864864985148, ""0.0001"": 0.10967616240183511, ""0.001"": 0.11263056596120198, ""0.01"": 0.11280433336893717, ""0.1"": 0.11123253239525688, ""0.3"": 0.11156382825639512, ""1"": 0.10784729984071519, ""3"": 0.1059772769610087, ""10"": 0.0994818541738722, ""30"": 0.0984545350074768, ""45"": 0.098615739080641, ""65"": 0.10038327508502536, ""90"": 0.10157301028569539}",0.08242904807746923,0.09845453398373291,0.10700206363303516,110736,0.30932340492274013,0.3182899593657452
chronos2,m4_hourly,7,L7,block_depth,True,0.5833333333333334,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.09871853060192531,"{""1e-05"": 2.0059337615966797, ""0.0001"": 2.071963310241699, ""0.001"": 2.055269479751587, ""0.01"": 2.0838212966918945, ""0.1"": 2.0286004543304443, ""0.3"": 1.98293137550354, ""1"": 1.9855244159698486, ""3"": 1.9639990329742432, ""10"": 1.792418122291565, ""30"": 1.7769335508346558, ""45"": 1.8181462287902832, ""65"": 1.8394781351089478, ""90"": 1.8999407291412354}","{""1e-05"": 0.11144076453314887, ""0.0001"": 0.11510907279120551, ""0.001"": 0.11418163776397705, ""0.01"": 0.11576784981621635, ""0.1"": 0.11270002524058023, ""0.3"": 0.11016285419464111, ""1"": 0.11030691199832492, ""3"": 0.10911105738745795, ""10"": 0.0995787845717536, ""30"": 0.09871853060192531, ""45"": 0.1010081238216824, ""65"": 0.10219322972827487, ""90"": 0.10555226273006862}",0.08130155429457832,0.09871852821634926,0.10671595961765479,110736,0.30932340492274013,0.3191434163897369
chronos2,m4_hourly,8,L8,block_depth,True,0.6666666666666666,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.09643336799409653,"{""1e-05"": 2.0707685947418213, ""0.0001"": 2.066587448120117, ""0.001"": 2.006610870361328, ""0.01"": 2.023533582687378, ""0.1"": 2.047016143798828, ""0.3"": 1.9817728996276855, ""1"": 1.9247795343399048, ""3"": 1.85870361328125, ""10"": 1.7899301052093506, ""30"": 1.7358006238937378, ""45"": 1.7453062534332275, ""65"": 1.779261827468872, ""90"": 1.8103617429733276}","{""1e-05"": 0.11504269970787895, ""0.0001"": 0.11481041378445095, ""0.001"": 0.11147838168674044, ""0.01"": 0.112418532371521, ""0.1"": 0.11372311909993489, ""0.3"": 0.1100984944237603, ""1"": 0.10693219635221693, ""3"": 0.10326131184895833, ""10"": 0.09944056140051948, ""30"": 0.09643336799409653, ""45"": 0.09696145852406819, ""65"": 0.09884787930382621, ""90"": 0.10057565238740708}",0.08039368789541498,0.09643336345676247,0.10632393773616726,110736,0.30932340492274013,0.311755793199188
chronos2,m4_hourly,9,L9,block_depth,True,0.75,30.0,False,False,1e-05|0.0001|0.001|0.01|0.1|0.3|1|3|10|30|45|65|90,90.0,1e-05,13,0.01,0.3,chronos2_quantile_loss (SUM over quantiles) = 2Q x mean pinball,0.09278002050187852,"{""1e-05"": 2.0932416915893555, ""0.0001"": 2.078822374343872, ""0.001"": 2.04518461227417, ""0.01"": 2.1253316402435303, ""0.1"": 1.9894171953201294, ""0.3"": 2.0682601928710938, ""1"": 2.001246452331543, ""3"": 1.9648202657699585, ""10"": 1.792785406112671, ""30"": 1.6700403690338135, ""45"": 1.738898515701294, ""65"": 1.7899311780929565, ""90"": 1.8678674697875977}","{""1e-05"": 0.11629120508829752, ""0.0001"": 0.11549013190799289, ""0.001"": 0.11362136734856498, ""0.01"": 0.11807398001352945, ""0.1"": 0.11052317751778495, ""0.3"": 0.11490334404839408, ""1"": 0.11118035846286349, ""3"": 0.10915668143166435, ""10"": 0.09959918922848171, ""30"": 0.09278002050187852, ""45"": 0.09660547309451632, ""65"": 0.09944062100516425, ""90"": 0.10377041498819986}",0.07915120897346965,0.09278002015905071,0.10414633466257849,110736,0.30932340492274013,0.29994503707931325
