model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,wind_farms_hourly,hard,0,Emb,0.0,True,10.75817161661978,36.90197919894445,39.86129128149355,11.189443684716261,47.21532164355951,458.5439386446513,10.128546186800467,10.947025413500151,4.60749703423022,58.066001998411934,68.24436848548156,57.5524958255537,80.95366673683316,19.577389442792068,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,1,L1,0.05,False,11.590747857821807,43.03192336578094,46.48281932085007,10.172671704346897,49.35985412672083,514.2507073389953,9.365961455012302,11.444242223129699,4.8383804053993,60.041895121685634,63.106206257878256,53.29193856214635,75.32765452210383,17.798414402111593,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,2,L2,0.1,False,10.052628432521383,46.155338694359884,49.85671337499686,8.831354952950514,53.64309141937208,526.2966654490564,7.8597919561694916,12.437324677352494,5.171073359511484,66.30794811386707,52.95790023400143,45.05295443167678,62.65363987001825,15.45160600411271,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,3,L3,0.15,False,15.426891090305707,84.17124512360294,90.92126200900093,14.255875056026547,94.10995743035005,806.3036737765555,12.534175431587379,21.819698771320112,8.521067968403933,120.75427355705172,84.45307658562687,70.51296826083924,102.11446714205933,24.942510609426606,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,4,L4,0.2,False,10.886534012000979,53.072534969856,57.32862630688372,10.157985660866016,60.313858666988025,633.665307212128,9.743294240024042,13.983963692934788,5.764866998159072,74.87089109605918,65.64860840988233,55.16230132957532,78.18632289209953,17.772719255802247,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,5,L5,0.25,False,20.527879405567663,58.864885003153056,63.585487236668946,22.498021483421326,70.05104838565909,715.3047309738473,20.48423358733685,16.241562700965787,6.613200671026201,87.9155833997014,138.01917464706656,111.67482400379436,171.10284616157978,39.363219538327805,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,6,L6,0.3,False,39.90345221439391,107.58469381832407,116.21232548538161,40.34603014065109,118.27239223295075,1232.0978910102729,37.29163297562643,27.421837624316595,10.604108556854149,152.3998946171817,251.26448507788402,199.10547564095484,315.7701021149183,70.59063585198986,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,7,L7,0.35,False,65.23947130814763,121.31764821599208,131.04657847896007,67.3235058256688,127.99381378002202,1473.8114413070427,50.63728610879975,29.675780730635633,11.649469511633217,161.8801263565166,341.18515614977116,276.7122952669706,424.2268856473311,117.79124408155245,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,8,L8,0.4,False,81.69329567537963,151.43316317099718,163.577172766108,97.20545444779724,171.88687975884156,2222.1577682922784,78.4504038899181,39.8525303962205,15.39148404956098,220.34459070075812,528.5850676058034,432.8486386455726,653.4089244822082,170.07360609781443,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,9,L9,0.45,False,78.78933196395408,178.03474151610502,192.31203430958166,95.23091332603047,208.33432589132883,2049.2320660591813,81.66635491654097,48.30298895883714,18.005276639245977,274.4662355973703,550.2535818075876,427.0883473826371,714.0893097664982,166.618889169891,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,10,L10,0.5,False,57.56322912769463,160.42851534019317,173.29389693049083,58.946372509002686,179.34146832007787,2076.3782404239446,46.45282850199775,41.580900924819304,15.755105107647617,233.8605014726676,312.99101440782783,259.40315234287397,380.95812498730834,103.13435800431404,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,11,L11,0.55,False,91.12030023108912,167.0614225018333,180.458722507673,78.54797941673803,202.30469459825974,2066.9828081127744,61.36464430559716,46.90499939312872,17.300915566821086,267.21194860838807,413.46421497580917,322.1036104015421,534.7510971020038,137.42992290906642,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,12,L12,0.6,False,57.76899163777592,173.00694627515034,186.88104077064614,58.24188410780812,206.08127825087422,2066.224443508033,56.76511992525635,47.78061255814079,17.525691304416114,273.74906483162204,382.4734260826313,293.2594059348781,500.4317084708537,101.90176376846703,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,13,L13,0.65,False,47.91607126206842,170.36952094264117,184.03211012533959,55.5062343437253,181.5475895197269,2003.8416459778043,51.09813018326636,42.09239727806111,16.208519926658063,234.89063495049808,344.29024272905104,293.4379501872452,399.6292091430883,97.1153881165939,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,14,L14,0.7,False,43.37347023359692,189.07188428884174,204.23428814338348,42.67825354874589,211.38119373810093,2149.7827342980986,36.55220881844217,49.00941514824213,18.338621510540428,279.6870703044503,246.28237474148543,209.3424539596552,293.67854687490126,74.67116453727503,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,15,L15,0.75,False,76.02220947323865,197.14977325177838,212.9599741873556,78.01475457926743,216.06873297843129,2287.3454329886195,68.58707817591666,50.09623631993853,18.862832953215893,281.6796898372035,462.1277081679952,389.73859430673474,553.8240443402061,136.49697658949287,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,16,L16,0.8,False,23.51898857655416,136.8977266909483,147.87608355592687,26.891246631855275,191.07187512823248,1648.9902169942786,23.252347343601862,44.30063377783229,16.703466482126743,251.18156420709258,156.67023983532283,133.02481467721293,184.78587816508866,47.04973926747557,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,17,L17,0.85,False,20.14815907441933,129.49914633158878,139.88418249327592,21.01793333228308,146.94216818675199,1319.166094045485,17.952590839140708,34.06901813777242,12.904915000508637,191.95519415214974,120.96140965344397,103.25768608900458,143.4821526870944,36.7736124978925,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,18,L18,0.9,False,14.860750917259974,97.45180413850328,105.26684028869248,14.384767723447494,107.71081275135823,940.2413556876324,12.033601878369518,24.973101176759933,9.658391263004042,139.54205520590983,81.0802997438324,69.61415622789923,94.4605705177941,25.168025122705483,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,19,L19,0.95,False,2.4537961376077346,12.537796164188617,13.54325041034684,2.9476459877181598,15.963224420614951,153.5242883543389,2.4073073701360514,3.7011253409032987,1.9694446830390964,16.268401210955467,16.22001501454146,13.909869126655334,18.70202457623184,5.1572906631510715,False,False,,,,,,,0
timesfm3,wind_farms_hourly,hard,20,L20,1.0,False,0.16637810903032824,0.9257597537006278,1.0,0.5715493231318413,4.313073173771239,13.594329768336506,0.14841585337485003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
timesfm3,wind_farms_hourly,noa,0,Emb,0.0,True,0.5343093691137797,1.6120001956926997,1.741272710602181,1.211967272939914,6.058774029344388,22.728158156057805,0.501151266679009,1.4047464036059358,1.092038919454732,4.816489023048726,3.376669373811869,2.76906736334294,4.133657938011892,2.120494634301833,False,False,0.9593098050140083,True,False,1.0,1475,,1803584
timesfm3,wind_farms_hourly,noa,1,L1,0.05,False,1.0394179814047257,3.1379587540186114,3.3896037729820825,1.7109107162007167,7.370764933406259,41.618939354614454,1.0850726833779145,1.7089357486975936,1.2390134408578264,5.646303962937938,7.311029507322071,6.029359278811567,8.859204745217504,2.993461188661149,False,False,0.932121858766585,True,False,1.0,1500,,1803584
timesfm3,wind_farms_hourly,noa,2,L2,0.1,False,1.3832408732926573,4.06951054055899,4.395860291281347,1.8581209096289772,8.32274644027808,56.13615565945491,1.3261414498617465,1.9296557477602183,1.3467621183735732,6.340087971640241,8.935308592083798,7.285761633189014,11.037409203760513,3.2510246000245164,False,False,0.9187173771851499,True,False,1.0,1500,,1803584
timesfm3,wind_farms_hourly,noa,3,L3,0.15,False,2.3811352986074588,6.116860393726047,6.607395028002176,3.080489770487975,10.956146308323627,81.21653560326526,2.6027645757814244,2.5402180456734187,1.5456526436720635,10.253446500197748,17.536971398922528,13.85508666615614,21.95453023748144,5.38971816746844,False,False,0.9260211176640498,True,False,1.0,1475,,1803584
timesfm3,wind_farms_hourly,noa,4,L4,0.2,False,3.2262096976050896,7.283455607694353,7.867544012989872,4.324588229353647,11.399232249457528,100.24413177687558,3.710738217222777,2.6429489577823078,1.6065863373315514,10.405984178898692,25.002303546715208,20.20273534979327,30.88535823425825,7.566430497470957,False,False,0.8734632199660018,True,False,1.0,1475,,1803584
timesfm3,wind_farms_hourly,noa,5,L5,0.25,False,4.287971121323018,8.095552114498526,8.744765671803513,5.371484855886634,12.43319442856166,101.17379928961114,3.8576896093973327,2.882676441515226,1.6739697661055517,12.143155688937583,25.992436263894717,21.175980653346077,32.16506771088791,9.398112531134212,False,False,0.8764774663561283,True,False,1.0,1500,,1803584
timesfm3,wind_farms_hourly,noa,6,L6,0.3,False,9.109985100403996,11.764347912998991,12.707776359873327,8.244218087605848,18.2518923513244,156.70472297642914,6.913383627322215,4.2317604213900735,2.1031476235599316,20.916932805846994,46.58116683708487,37.200413901327806,57.73767240591124,14.424333568328144,False,False,0.877686008545605,True,False,1.0,1475,,1803584
timesfm3,wind_farms_hourly,noa,7,L7,0.35,False,12.35054272367754,15.266354521375312,16.490622389177815,13.05917471078516,20.061084861518715,189.19112721677362,11.64884768844774,4.651227570984571,2.3647311267136124,21.62238542203022,78.4878934666538,60.65433464568266,101.40252320085729,22.848727454048184,False,False,0.872672078040972,True,False,1.0,1500,,1803584
