model,dataset,display_name,geometry_variant,split,layer,point_type,include_in_main_depth_axis,point_index,n_rows,feature_dim,effective_rank,normalized_effective_rank,effective_rank_over_max_possible,spectral_entropy,pc1_fraction,numerical_rank,max_possible_rank,is_headline
chronos2,m4_hourly,M4,headline,test,Emb,block_depth,True,0,1048,768,1.0006743688560034,0.0013029614177812543,0.0013029614177812543,0.0006741415715030138,0.9999377112273178,7,768.0,True
chronos2,m4_hourly,M4,headline,test,L1,block_depth,True,1,1048,768,7.190912871916206,0.009363167801974227,0.009363167801974227,1.9728181277788701,0.40147888708724283,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L2,block_depth,True,2,1048,768,10.255596869748045,0.013353641757484434,0.013353641757484434,2.3278235926339463,0.33990606409415497,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L3,block_depth,True,3,1048,768,14.554390449936879,0.018951029231688645,0.018951029231688645,2.6778926972369423,0.2800944902541003,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L4,block_depth,True,4,1048,768,18.243418613225863,0.02375445131930451,0.02375445131930451,2.9038043910552234,0.2466538512267644,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L5,block_depth,True,5,1048,768,18.654302617830634,0.024289456533633638,0.024289456533633638,2.9260768228508294,0.26728136006108166,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L6,block_depth,True,6,1048,768,24.2013914071897,0.031512228394778255,0.031512228394778255,3.1864101276746633,0.25560094018282337,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L7,block_depth,True,7,1048,768,19.48222012554233,0.025367474121799908,0.025367474121799908,2.9695022612040534,0.29044482922233544,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L8,block_depth,True,8,1048,768,20.899595783723594,0.027213015343390098,0.027213015343390098,3.0397298182920416,0.27681020594012856,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L9,block_depth,True,9,1048,768,15.676676141154271,0.02041233872546129,0.02041233872546129,2.752174011657425,0.3088542551902386,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L10,block_depth,True,10,1048,768,12.88965286840473,0.01678340217240199,0.01678340217240199,2.5564248862862757,0.3206437677598095,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L11,block_depth,True,11,1048,768,9.833385343254818,0.012803887165696378,0.012803887165696378,2.2857832638082347,0.3430744143064225,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L12,block_depth,True,12,1048,768,6.483275229925577,0.008441764622298929,0.008441764622298929,1.8692258193909803,0.3618615733438876,768,768.0,True
chronos2,m4_hourly,M4,headline,test,L12+LN,head_input_diagnostic,False,13,1048,768,5.934014429032963,0.007726581287803337,0.007726581287803337,1.78070095345195,0.44119946264998516,768,768.0,False
chronos2,m4_hourly,M4,headline,train,Emb,block_depth,True,0,5576,768,1.0006743686280868,0.001302961417484488,0.001302961417484488,0.0006741413437400113,0.9999377112495059,3,768.0,True
chronos2,m4_hourly,M4,headline,train,L1,block_depth,True,1,5576,768,7.316426440563481,0.009526596927817032,0.009526596927817032,1.990122017589256,0.3750653060026264,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L2,block_depth,True,2,5576,768,10.474237055566759,0.013638329499435884,0.013638329499435884,2.3489186283648564,0.2779355134319043,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L3,block_depth,True,3,5576,768,14.232604803346586,0.018532037504357533,0.018532037504357533,2.6555354454798974,0.21198760839618222,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L4,block_depth,True,4,5576,768,16.675247088513384,0.02171256131316847,0.02171256131316847,2.8139254095937556,0.20477468099380688,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L5,block_depth,True,5,5576,768,15.621520110326502,0.020340520976987634,0.020340520976987634,2.748649457879152,0.2700835253819042,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L6,block_depth,True,6,5576,768,18.85842213050857,0.0245552371490997,0.0245552371490997,2.9369596114842538,0.27124766638897974,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L7,block_depth,True,7,5576,768,14.70385608552139,0.01914564594468931,0.01914564594468931,2.6881097781280965,0.31074086093298203,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L8,block_depth,True,8,5576,768,15.517050102660422,0.020204492321172423,0.020204492321172423,2.7419394259844774,0.30312215811516746,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L9,block_depth,True,9,5576,768,11.855104267264652,0.015436333681334182,0.015436333681334182,2.4727585146929174,0.34259391573780756,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L10,block_depth,True,10,5576,768,9.951580765925273,0.012957787455631866,0.012957787455631866,2.2977314094991126,0.37253275394700536,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L11,block_depth,True,11,5576,768,7.901054408532194,0.010287831261109628,0.010287831261109628,2.066996220001178,0.38923398742718235,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L12,block_depth,True,12,5576,768,5.531349401854329,0.007202277866997824,0.007202277866997824,1.7104318005693417,0.4214681346930459,768,768.0,True
chronos2,m4_hourly,M4,headline,train,L12+LN,head_input_diagnostic,False,13,5576,768,4.960312484359789,0.006458740214010141,0.006458740214010141,1.6014687396313538,0.49773673187394407,768,768.0,False
