model,dataset,family,depth_index,label,relative_depth,is_phase1_entrance,val_loss,val_mase,val_mase_ratio_vs_native,test_loss,test_mase,test_mae,test_wql,mase_ratio_vs_native,mase_ratio_ci_lo,mase_ratio_ci_hi,wql_ratio_vs_native,wql_ratio_ci_lo,wql_ratio_ci_hi,loss_ratio_vs_native,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,selected_hard_cut,selected_wd,selected_epoch,selected_kappa,n_adapter_params
timesfm3,sg_carpark,hard,0,Emb,0.0,False,8.754796407990536,36.87314372136415,56.922649471868105,13.442681855401077,45.58137124615927,690.2401370054913,4.216553991541045,75.56690761814743,65.41633477835157,87.0375112755543,142.48458046184948,118.67445492057313,172.90703002467333,134.6360221373135,False,False,,,,,,,0
timesfm3,sg_carpark,hard,1,L1,0.05,False,10.42614856547555,39.17742258850514,60.479863340879845,8.611183995580943,45.22205386344444,679.0045676886008,2.61391879071439,74.97121462509175,64.92936634921622,86.29172118261805,88.32879242230837,73.99036943119076,105.7729379676243,86.24585268985555,False,False,,,,,,,0
timesfm3,sg_carpark,hard,2,L2,0.1,False,10.086962340241772,48.83971868352599,75.39596319573442,9.966629429725604,61.65846551958669,924.899992106437,3.063247836484901,102.2202588560329,88.04713406743586,118.29893525641323,103.51239038034988,86.34099438017469,125.00674252334679,99.82140133709952,False,False,,,,,,,0
timesfm3,sg_carpark,hard,3,L3,0.15,False,15.651967287063599,64.79195654453005,100.0221152514291,15.301918468906381,67.35510148598404,1028.9775413504126,4.74592549542486,111.66440570896981,97.18291964536517,128.2619339116319,160.37295015678535,133.71320768015684,193.32617853162645,153.25732289760998,False,False,,,,,,,0
timesfm3,sg_carpark,hard,4,L4,0.2,False,12.430256452937584,42.20157847319942,65.14838215971331,12.726836899579581,55.7925051718335,848.1667556828237,3.775497658882675,92.49539820415569,80.22165875848609,106.48145828071365,127.58053164735725,105.86062118856147,155.16111383052575,127.4664321436216,False,False,,,,,,,0
timesfm3,sg_carpark,hard,5,L5,0.25,False,46.460384386407455,48.36955930458677,74.67015804807727,57.491239569281454,63.688426790915855,986.9443698166126,17.36449379256777,105.58562263656799,91.54085247899593,121.51405374438676,586.7759829305921,477.31982062648655,725.1895202266675,575.8071110074953,False,False,,,,,,,0
timesfm3,sg_carpark,hard,6,L6,0.3,False,129.48927205026487,134.53755747734388,207.69138327218363,105.54783594002159,103.96216304441438,1549.5044356498822,31.513914333388705,172.35328722634696,149.182683299916,199.07642836364633,1064.9091346895054,879.6827045064193,1301.8529151634636,1057.1209620985478,False,False,,,,,,,0
timesfm3,sg_carpark,hard,7,L7,0.35,False,106.63427571927087,110.42684277366116,170.47064147796667,167.08413219721305,128.7698303083903,1990.0027941472592,51.23484501124271,213.48058658368186,183.70953536456773,247.13765524404843,1731.3131555056332,1407.733016223953,2153.0905891749535,1673.4415917356107,False,False,,,,,,,0
timesfm3,sg_carpark,hard,8,L8,0.4,False,112.86091079280875,130.966646708183,202.17881554689654,114.34667778553936,119.59243328804956,1868.72848068437,34.753504236604,198.26587290019242,172.76787327242664,227.75316231384826,1174.3804255004586,965.2658479343414,1422.69625967752,1145.246313738844,False,False,,,,,,,0
timesfm3,sg_carpark,hard,9,L9,0.45,False,85.86422427225921,133.48642190204447,206.06870031484436,113.16066204760708,165.7775435835738,2534.2038744637516,33.13012474082405,274.8336870668166,237.0467252792558,318.080314204501,1119.5236522086648,906.0302138747126,1380.5411690004044,1133.3676988266498,False,False,,,,,,,0
timesfm3,sg_carpark,hard,10,L10,0.5,False,51.95621403731869,134.66916050415006,207.89454449491345,80.35208602409578,192.64047658165023,3034.0193223174683,23.827926574754745,319.36830111463706,277.8024164348971,366.9597210740041,805.1864456356351,654.8676428663676,993.3399961598635,804.771350619508,False,False,,,,,,,0
timesfm3,sg_carpark,hard,11,L11,0.55,False,95.9763097439782,232.27438398117926,358.5719037293307,94.84256599986621,231.58308331303328,3381.736981138241,29.399858868459425,383.9291575528521,331.0566578163913,442.6885237029463,993.4715800897503,809.8085553306728,1222.0953324018344,949.9016604627232,False,False,,,,,,,0
timesfm3,sg_carpark,hard,12,L12,0.6,True,97.01507245079945,254.8387087422477,393.4054172113804,90.92332849933602,221.49252477651658,3241.511805215734,26.84725438639045,367.20056242949414,318.62228143489733,422.41312426547137,907.214703160799,742.9044753322528,1119.6849886813807,910.6482917853441,False,False,,,,,,,0
timesfm3,sg_carpark,hard,13,L13,0.65,False,59.405312640518794,275.630075021103,425.50193883361413,47.5057101168875,208.90652004892726,3151.3007834728146,14.825034502387545,346.33490107422176,299.85681907008114,399.40205005834554,500.9633045474477,412.8433812627475,609.3554782651441,475.7964153095128,False,False,,,,,,,0
timesfm3,sg_carpark,hard,14,L14,0.7,False,40.63159566006418,168.1487370391792,259.5783991174273,33.83250590771605,129.27682979300448,2019.2620969890472,10.44927408022957,214.32111380278158,187.3688543952372,245.30515340771575,353.0988661450169,291.67696250409415,423.94000470597115,338.85158209869286,False,False,,,,,,,0
timesfm3,sg_carpark,hard,15,L15,0.75,False,85.79121088577529,193.61123543735036,298.8859472329227,88.50084785418322,155.25852688185614,2451.92965830415,27.439641692233234,257.394774160057,222.79158345810086,296.32638456240727,927.2324847220606,770.1058999919874,1125.3502683358738,886.3857851459445,False,False,,,,,,,0
timesfm3,sg_carpark,hard,16,L16,0.8,False,21.46580287696278,113.63209784669196,175.4187308616323,21.434711547894665,102.76556888307947,1641.8801995718893,6.836527545936358,170.369518024721,147.66991747977602,194.98233192725834,231.01797371806217,192.74406371456124,275.3018326855044,214.68069612238634,False,False,,,,,,,0
timesfm3,sg_carpark,hard,17,L17,0.85,False,18.172589504112633,106.02695131179861,163.67834079185087,16.10199187704399,86.84315402429182,1334.3602888930634,4.917120663410676,143.9726014819084,125.1591944746685,165.059207085064,166.15792806445347,139.26786639082354,199.19502038155971,161.27050823132456,False,False,,,,,,,0
timesfm3,sg_carpark,hard,18,L18,0.9,False,17.850437831070465,86.56875595137991,133.63989215221136,13.346579333483163,77.69857105404999,1175.174198039618,4.0772728466538375,128.81228844992663,112.26498621031938,148.00301774808295,137.77803204925655,115.4437730213866,165.50429750294148,133.6735013094332,False,False,,,,,,,0
timesfm3,sg_carpark,hard,19,L19,0.95,False,1.6687978314141096,8.913460074908315,13.760089653856244,1.6689087266975877,7.222800143054661,111.48627176282508,0.5112326596105029,11.974292484685693,10.446350314007432,13.653264715948668,17.275427083141842,14.362871675948632,20.776312231426484,16.715059888331194,False,False,,,,,,,0
timesfm3,sg_carpark,hard,20,L20,1.0,False,0.10938379581423087,0.6477763080860691,1.0,0.09984461544541968,0.6031922263709636,9.138654770235938,0.029593054756335797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,,,,,,0
